,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,red
0,8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6,1
1,7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,1
2,8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,5,1
3,11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,5,1
4,8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,5,1
5,6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6,1
6,5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,6,1
7,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5,1
8,7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6,1
9,8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,6,1
10,7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,6,1
11,7.3,0.43,0.24,2.5,0.078,27,67,0.99648,3.6,0.59,11.1,6,1
12,8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,5,1
13,11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,6,1
14,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6,1
15,6.2,0.64,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12,5,1
16,7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,5,1
17,6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,6,1
18,7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,5,1
19,7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6,1
20,10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6,1
21,10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,7,1
22,9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,7,1
23,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,1
24,8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,5,1
25,5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5,1
26,7.4,0.64,0.17,5.4,0.168,52,98,0.99736,3.28,0.5,9.5,5,1
27,6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,6,1
28,7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5,1
29,8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5,1
30,8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,6,1
31,6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,6,1
32,10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5,1
33,8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,5,1
34,6,0.42,0.19,2,0.075,22,47,0.99522,3.39,0.78,10,6,1
35,11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,6,1
36,7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,7,1
37,6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5,1
38,7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,5,1
39,7.6,0.54,0.02,1.7,0.085,17,31,0.99589,3.37,0.51,10.4,6,1
40,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,1
41,9.3,0.49,0.36,1.7,0.081,3,14,0.99702,3.27,0.78,10.9,6,1
42,6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,6,1
43,8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6,1
44,9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,5,1
45,8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5,1
46,7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3,1
47,10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8,1
48,8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6,7,1
49,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,1
50,7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,5,1
51,7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,6,1
52,8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,1
53,8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,5,1
54,7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5,1
55,8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,5,1
56,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7,1
57,6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4,1
58,9.6,0.41,0.37,2.3,0.091,10,23,0.99786,3.24,0.56,10.5,5,1
59,7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5,1
60,5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,6,1
61,12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,1
62,11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,6,1
63,7,0.54,0,2.1,0.079,39,55,0.9956,3.39,0.84,11.4,6,1
64,7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,7,1
65,8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7,1
66,7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4,5,1
67,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,6,1
68,11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,6,1
69,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,1
70,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6,1
71,7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6,1
72,8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5,1
73,7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,6,1
74,8.2,0.31,0.4,2.2,0.058,6,10,0.99536,3.31,0.68,11.2,7,1
75,10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,5,1
76,11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5,1
77,8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,6,1
78,8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5,1
79,9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5,6,1
80,12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5,1
81,10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6,1
82,8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,1
83,9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,7,1
84,9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6,1
85,6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,4,1
86,7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,4,1
87,9,0.39,0.4,1.3,0.044,25,50,0.99478,3.2,0.83,10.9,6,1
88,9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,6,1
89,8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5,1
90,7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6,1
91,8.2,0.44,0.24,2.3,0.063,10,28,0.99613,3.25,0.53,10.2,6,1
92,6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,1
93,7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5,1
94,7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,6,1
95,5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,6,1
96,7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4,1
97,12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,6,1
98,7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,5,1
99,12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,4,1
100,7.8,0.48,0.68,1.7,0.415,14,32,0.99656,3.09,1.06,9.1,6,1
101,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,1
102,8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,5,1
103,5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8,1
104,7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9,7,1
105,8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,5,1
106,9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4,1
107,10.1,0.43,0.4,2.6,0.092,13,52,0.99834,3.22,0.64,10,7,1
108,11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,6,1
109,8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,4,1
110,7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,1
111,8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1,6,1
112,7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5,1
113,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6,1
114,6.6,0.52,0.08,2.4,0.07,13,26,0.99358,3.4,0.72,12.5,7,1
115,8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,6,1
116,10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7,1
117,7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,5,1
118,8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,6,1
119,8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,5,1
120,6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7,1
121,7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,5,1
122,8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,6,1
123,6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5,1
124,6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5,1
125,7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6,1
126,5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,6,1
127,8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,7,1
128,11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,1
129,8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6,1
130,12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,5,1
131,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7,1
132,7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,5,1
133,6.2,0.51,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5,6,1
134,8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,7,1
135,9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,5,1
136,6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5,1
137,8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6,1
138,7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,6,1
139,9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5,7,1
140,7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,5,1
141,7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6,1
142,9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,6,1
143,12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5,1
144,7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6,1
145,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5,1
146,10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6,1
147,14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,6,1
148,8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,1
149,7.5,0.42,0.32,2.7,0.067,7,25,0.99628,3.24,0.44,10.4,5,1
150,6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,5,1
151,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5,1
152,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,1
153,7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5,1
154,7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5,1
155,7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6,1
156,10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6,1
157,9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,5,1
158,8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,5,1
159,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5,1
160,8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,6,1
161,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6,1
162,7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,5,1
163,7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5,1
164,7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5,1
165,8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,4,1
166,10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,6,1
167,8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6,1
168,10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,6,1
169,6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,5,1
170,7.8,0.64,0,1.9,0.072,27,55,0.9962,3.31,0.63,11,5,1
171,6.9,0.44,0,1.4,0.07,32,38,0.99438,3.32,0.58,11.4,6,1
172,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4,1
173,8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,6,1
174,7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,6,1
175,7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4,1
176,6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6,1
177,10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6,1
178,8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,7,1
179,6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,5,1
180,8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5,1
181,8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,4,1
182,6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,5,1
183,9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5,1
184,8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,6,1
185,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6,1
186,6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,6,1
187,6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6,1
188,10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6,1
189,9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,6,1
190,7.7,0.28,0.3,2,0.062,18,34,0.9952,3.28,0.9,11.3,7,1
191,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,1
192,6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6,1
193,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6,1
194,7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,5,1
195,9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,6,1
196,8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,5,1
197,6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,5,1
198,8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,6,1
199,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,1
200,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,1
201,10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,6,1
202,7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5,1
203,6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5,1
204,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5,1
205,7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7,1
206,8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6,1
207,10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6,1
208,8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,6,1
209,7,0.45,0.34,2.7,0.082,16,72,0.998,3.55,0.6,9.5,5,1
210,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,1
211,7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7,6,1
212,7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,5,1
213,13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6,1
214,6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5,1
215,4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,1
216,7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,6,1
217,7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,1
218,8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,7,1
219,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,1
220,6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,5,1
221,7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7,1
222,7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5,1
223,10,0.38,0.38,1.6,0.169,27,90,0.99914,3.15,0.65,8.5,5,1
224,8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6,1
225,10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6,1
226,9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2,6,1
227,7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6,1
228,10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,6,1
229,6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6,1
230,7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5,1
231,6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6,1
232,8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5,1
233,7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5,1
234,9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8,1
235,6.8,0.57,0,2.5,0.072,32,64,0.99491,3.43,0.56,11.2,6,1
236,9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,6,1
237,6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6,1
238,8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,7,1
239,7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5,5,1
240,7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6,1
241,11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,6,1
242,8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,1
243,8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,5,1
244,8,0.3,0.63,1.6,0.081,16,29,0.99588,3.3,0.78,10.8,6,1
245,8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,1
246,6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6,1
247,8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6,1
248,9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,7,1
249,8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,1
250,9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,7,1
251,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,1
