,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,red
252,9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,6,1
253,9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,6,1
254,7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,6,1
255,7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5,1
256,6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5,1
257,9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5,1
258,9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9,6,1
259,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,1
260,6.8,0.48,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6,5,1
261,5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,6,1
262,10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6,1
263,6.5,0.52,0.11,1.8,0.073,13,38,0.9955,3.34,0.52,9.3,5,1
264,7.3,0.34,0.33,2.5,0.064,21,37,0.9952,3.35,0.77,12.1,7,1
265,7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9,5,1
266,9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5,1
267,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,1
268,7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,7,1
269,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7,1
270,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,1
271,6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,6,1
272,8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,5,1
273,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6,1
274,6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,1
275,10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,3,1
276,8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,5,1
277,10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,5,1
278,7.3,0.74,0.08,1.7,0.094,10,45,0.99576,3.24,0.5,9.8,5,1
279,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,1
280,6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,6,1
281,10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6,1
282,7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5,1
283,6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,1
284,11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,7,1
285,7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,1
286,7.4,0.52,0.13,2.4,0.078,34,61,0.99528,3.43,0.59,10.8,6,1
287,8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1,7,1
288,5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5,1
289,6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,6,1
290,8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,5,1
291,7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7,1
292,7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6,1
293,10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8,1
294,7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5,1
295,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6,1
296,6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5,1
297,8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6,1
298,9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7,1
299,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,1
300,7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,6,1
301,8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,6,1
302,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,1
303,9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,5,1
304,8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8,1
305,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7,1
306,8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,6,1
307,5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4,1
308,6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4,6,1
309,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,1
310,15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,1
311,10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6,1
312,5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,7,1
313,8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,7,1
314,11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,4,1
315,9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,5,1
316,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,1
317,8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5,1
318,7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,6,1
319,7.8,0.82,0.29,4.3,0.083,21,64,0.99642,3.16,0.53,9.4,5,1
320,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,1
321,7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,6,1
322,8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,7,1
323,9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,7,1
324,8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,6,1
325,8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6,1
326,7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5,1
327,8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5,1
328,7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,6,1
329,8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6,1
330,10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6,1
331,8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5,1
332,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,1
333,4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,1
334,5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,6,1
335,7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5,1
336,7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6,1
337,8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6,1
338,7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,7,1
339,8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,6,1
340,10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,1
341,10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,6,1
342,7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,6,1
343,7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7,1
344,8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6,1
345,8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,6,1
346,7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,6,1
347,8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5,1
348,6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5,1
349,6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6,1
350,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,1
351,10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,6,1
352,8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5,1
353,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5,1
354,6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6,1
355,7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,1
356,7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,5,1
357,10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,6,1
358,6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,6,1
359,8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,1
360,7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,5,1
361,10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,1
362,7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,5,1
363,6.2,0.65,0.06,1.6,0.05,6,18,0.99348,3.57,0.54,11.95,5,1
364,7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5,1
365,6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5,1
366,10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5,1
367,8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6,1
368,7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,6,1
369,7,0.655,0.16,2.1,0.074,8,25,0.99606,3.37,0.55,9.7,5,1
370,10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,6,1
371,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6,1
372,8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,7,1
373,10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,6,1
374,12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,5,1
375,8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,6,1
376,8.3,0.85,0.14,2.5,0.093,13,54,0.99724,3.36,0.54,10.1,5,1
377,5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,6,1
378,7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,7,1
379,8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6,1
380,10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6,1
381,9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,7,1
382,6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,6,1
383,8,0.58,0.16,2,0.12,3,7,0.99454,3.22,0.58,11.2,6,1
384,12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5,1
385,6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5,1
386,7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,5,1
387,7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5,1
388,7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,6,1
389,12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,6,1
390,12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,7,1
391,9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,6,1
392,6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,5,1
393,7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5,1
394,9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,6,1
395,7.9,0.29,0.49,2.2,0.096,21,59,0.99714,3.31,0.67,10.1,6,1
396,7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5,1
397,12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6,1
398,11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5,1
399,7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6,6,1
400,12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5,1
401,6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,0.49,11.7,5,1
402,6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,4,1
403,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5,1
404,7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5,1
405,6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,5,1
406,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,1
407,9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,4,1
408,7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,5,1
409,6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5,1
410,7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5,1
411,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6,1
412,8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5,1
413,7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,5,1
414,12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,7,1
415,7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,6,1
416,9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6,1
417,13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6,1
418,10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,5,1
419,8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5,1
420,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,1
421,10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5,1
422,6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4,1
423,12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6,1
424,7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,6,1
425,8,0.81,0.25,3.4,0.076,34,85,0.99668,3.19,0.42,9.2,5,1
426,5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5,1
427,8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5,1
428,7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,1
429,7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,5,1
430,7.2,0.67,0,2.2,0.068,10,24,0.9956,3.42,0.72,11.1,6,1
431,6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5,1
432,6.7,0.48,0.08,2.1,0.064,18,34,0.99552,3.33,0.64,9.7,5,1
433,10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5,1
434,6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6,1
435,6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7,1
436,13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6,1
437,9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6,1
438,7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6,1
439,7,0.43,0.02,1.9,0.08,15,28,0.99492,3.35,0.81,10.6,6,1
440,7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6,1
441,7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5,1
442,7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,5,1
443,8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,6,1
444,7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6,1
445,7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,6,1
446,7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5,1
447,8,0.48,0.34,2.2,0.073,16,25,0.9936,3.28,0.66,12.4,6,1
448,6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6,1
449,7,0.51,0.09,2.1,0.062,4,9,0.99584,3.35,0.54,10.5,5,1
450,11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,5,1
451,5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8,1
452,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,1
453,11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6,1
454,6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5,1
455,7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,5,1
456,10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6,1
457,8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,7,1
458,7.4,0.41,0.24,1.8,0.066,18,47,0.9956,3.37,0.62,10.4,5,1
459,8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,5,1
460,9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,6,1
461,15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,1
462,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,1
463,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,1
464,6.1,0.34,0.25,1.8,0.084,4,28,0.99464,3.36,0.44,10.1,5,1
465,11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7,1
466,10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,7,1
467,9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,5,1
468,8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,6,1
469,9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,5,1
470,9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5,1
471,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.56666667,7,1
472,7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5,1
473,8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7,1
474,7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6,1
475,7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5,1
476,9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5,6,1
477,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6,1
478,9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,6,1
479,8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9,6,1
480,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6,1
481,10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,6,1
482,6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5,1
483,10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,1
484,7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7,7,1
485,7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,5,1
486,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,1
487,10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,6,1
488,6.3,0.98,0.01,2,0.057,15,33,0.99488,3.6,0.46,11.2,6,1
489,10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5,1
490,8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,6,1
491,9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,6,1
492,11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,6,1
493,6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,5,1
494,7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6,1
495,9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,5,1
496,7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,6,1
497,6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6,1
498,9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5,1
499,8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,6,1
500,6.7,0.34,0.4,2.1,0.033,34,111,0.98924,2.97,0.48,12.2,7,0
501,9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,4,0
502,8,0.33,0.35,10,0.035,22,108,0.99457,3.12,0.36,11.6,6,0
503,7,0.11,0.32,4.6,0.057,59,144,0.9956,3.55,0.44,9.4,7,0
504,6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4,0
